,Time,Glucose,Biomass,Protein,Acetate,Vreal,Temperature,Induction,Batch,BR
2,0.75,11,0.21766666666662715,0,0.128,1.76284,37.004999999999995,0,0.0,6
3,1.4166666666666656,10.5,0.4400000000001292,0,0.23099999999999998,1.74784,36.989999999999995,0,0.0,6
4,2.083333333333334,10.2,0.7629999999999804,0,0.33399999999999996,1.73184,36.989999999999995,0,0.0,6
5,2.7499999999999996,8.02,1.3462500000001043,0,0.395,1.7205137400530504,37.035000000000004,0,0.0,6
6,3.5833333333333326,5.5600000000000005,2.622500000000194,0,0.44899999999999995,1.7144155968169759,37.004999999999995,0,0.0,6
7,4.533333333333332,0.069,5.646666666666651,0,0.29900000000000004,1.7210142926613592,36.975,0,0.0,6
1,0,6.58,0.21071428571431805,0,0.05499999999999999,1.7478399999999998,37.065,0,0.0,7
2,0.6500000000000004,5.34,0.46547619047622646,0,0.126,1.7283399999999998,36.989999999999995,0,0.0,7
3,1.3833333333333324,6.3,0.6464285714286033,0,0.20500000000000002,1.7143399999999998,36.989999999999995,0,0.0,7
4,2.1500000000000004,5.460000000000001,1.1750000000000054,0,0.28,1.7047899999999998,37.004999999999995,0,0.0,7
5,2.7333333333333316,3.92,1.7964285714286037,0,0.395,1.6937953050397878,37.035000000000004,0,0.0,7
6,3.633333333333332,1.29,3.4499999999999216,0,0.28300000000000003,1.6880287267904506,37.035000000000004,0,0.0,7
1,0,8.129999999999999,0.503571428571397,0,0.044999999999999984,1.7528,37.26,0,0.0,8
2,0.7999999999999998,7.09,0.6392857142856995,0,0.11099999999999999,1.7438,36.989999999999995,0,0.0,8
3,1.85,6.28,1.3357142857143132,0,0.21199999999999997,1.7328000000000001,36.989999999999995,0,0.0,8
4,3.033333333333333,2.7600000000000002,2.996428571428535,0,0.275,1.7228,37.02,0,0.0,8
1,0,8.149999999999999,0.2740000000001075,0,0.017000000000000015,1.7518,36.989999999999995,0,0.0,9
2,1.1333333333333333,6.78,0.6966666666666418,0,0.15599999999999997,1.7448000000000001,36.989999999999995,0,0.0,9
3,1.9499999999999997,7.08,1.3460000000002026,0,0.11499999999999999,1.7358000000000002,37.004999999999995,0,0.0,9
4,2.95,1.93,3.0261363636362546,0,0.30399999999999994,1.7299193633952257,37.02,0,0.0,9
